respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.2,0.2
26708,0.0,0.0
26709,0.3,0.3
26710,0.6,0.6
26711,0.3,0.3
26712,0.7,0.7
26713,0.2,0.2
26714,0.2,0.2
26715,0.0,0.0
26716,0.2,0.2
26717,0.0,0.0
26718,0.4,0.4
26719,0.1,0.1
26720,0.0,0.0
26721,0.4,0.4
26722,0.1,0.1
26723,0.7,0.7
26724,0.0,0.0
26725,0.0,0.0
26726,0.0,0.0
26727,0.4,0.4
26728,0.3,0.3
26729,0.0,0.0
26730,0.0,0.0
26731,0.0,0.0
26732,0.2,0.2
26733,1.1,1.1
26734,0.6,0.6
26735,0.0,0.0
26736,0.1,0.1
26737,0.1,0.1
26738,0.7,0.7
26739,0.1,0.1
26740,0.2,0.2
26741,0.1,0.1
26742,0.2,0.2
26743,0.1,0.1
26744,0.0,0.0
26745,0.1,0.1
26746,0.1,0.1
26747,0.1,0.1
26748,0.1,0.1
26749,0.1,0.1
26750,0.4,0.4
26751,0.5,0.5
26752,0.1,0.1
26753,0.3,0.3
26754,0.2,0.2
26755,0.1,0.1
26756,0.0,0.0
26757,0.4,0.4
26758,0.4,0.4
26759,0.0,0.0
26760,0.0,0.0
26761,0.3,0.3
26762,0.2,0.2
26763,0.9,0.9
26764,1.1,1.1
26765,0.1,0.1
26766,0.2,0.2
26767,0.9,0.9
26768,0.0,0.0
26769,0.1,0.1
26770,0.1,0.1
26771,0.0,0.0
26772,0.1,0.1
26773,0.0,0.0
26774,0.0,0.0
26775,0.0,0.0
26776,0.3,0.3
26777,0.1,0.1
26778,0.1,0.1
26779,0.2,0.2
26780,0.1,0.1
26781,0.1,0.1
26782,0.0,0.0
26783,0.0,0.0
26784,0.2,0.2
26785,0.2,0.2
26786,0.1,0.1
26787,0.0,0.0
26788,0.0,0.0
26789,0.0,0.0
26790,0.0,0.0
26791,0.0,0.0
26792,0.1,0.1
26793,0.2,0.2
26794,0.6,0.6
26795,0.1,0.1
26796,0.0,0.0
26797,0.2,0.2
26798,0.3,0.3
26799,0.2,0.2
26800,0.1,0.1
26801,0.2,0.2
26802,0.1,0.1
26803,0.0,0.0
26804,0.0,0.0
26805,0.0,0.0
26806,0.0,0.0
26807,0.4,0.4
26808,0.1,0.1
26809,0.4,0.4
26810,0.0,0.0
26811,0.0,0.0
26812,0.3,0.3
26813,0.5,0.5
26814,0.0,0.0
26815,0.0,0.0
26816,0.1,0.1
26817,0.0,0.0
26818,0.1,0.1
26819,0.2,0.2
26820,0.0,0.0
26821,0.0,0.0
26822,0.1,0.1
26823,0.3,0.3
26824,0.0,0.0
26825,0.5,0.5
26826,0.0,0.0
26827,0.0,0.0
26828,0.1,0.1
26829,0.8,0.8
26830,0.0,0.0
26831,0.1,0.1
26832,0.1,0.1
26833,0.0,0.0
26834,0.2,0.2
26835,0.3,0.3
26836,0.3,0.3
26837,0.1,0.1
26838,0.1,0.1
26839,0.2,0.2
26840,0.1,0.1
26841,0.4,0.4
26842,0.1,0.1
26843,0.0,0.0
26844,0.0,0.0
26845,0.0,0.0
26846,0.0,0.0
26847,0.3,0.3
26848,0.0,0.0
26849,0.5,0.5
26850,0.5,0.5
26851,0.1,0.1
26852,0.1,0.1
26853,0.4,0.4
26854,0.0,0.0
26855,0.4,0.4
26856,0.1,0.1
26857,0.6,0.6
26858,0.1,0.1
26859,0.0,0.0
26860,0.2,0.2
26861,0.0,0.0
26862,0.0,0.0
26863,0.1,0.1
26864,0.3,0.3
26865,0.0,0.0
26866,0.0,0.0
26867,0.1,0.1
26868,0.9,0.9
26869,0.0,0.0
26870,0.6,0.6
26871,0.0,0.0
26872,0.1,0.1
26873,0.1,0.1
26874,0.0,0.0
26875,0.4,0.4
26876,0.0,0.0
26877,0.2,0.2
26878,0.2,0.2
26879,0.0,0.0
26880,0.1,0.1
26881,0.0,0.0
26882,0.0,0.0
26883,0.1,0.1
26884,0.1,0.1
26885,0.2,0.2
26886,0.1,0.1
26887,0.7,0.7
26888,1.1,1.1
26889,0.0,0.0
26890,0.1,0.1
26891,0.7,0.7
26892,0.1,0.1
26893,0.0,0.0
26894,0.3,0.3
26895,0.0,0.0
26896,0.1,0.1
26897,0.0,0.0
26898,0.2,0.2
26899,0.0,0.0
26900,0.1,0.1
26901,0.1,0.1
26902,0.1,0.1
26903,0.1,0.1
26904,0.1,0.1
26905,0.4,0.4
26906,0.0,0.0
26907,0.0,0.0
26908,0.1,0.1
26909,0.1,0.1
26910,0.1,0.1
26911,0.1,0.1
26912,0.5,0.5
26913,0.6,0.6
26914,0.0,0.0
26915,0.1,0.1
26916,0.0,0.0
26917,0.0,0.0
